feature,source_section,requirement_text,verification_objective,test_idea,coverage,priority
Reset behaviour,A2.1,"The reset signal can be asserted asynchronously, but deassertion can only be synchronous with a rising edge of ACLK.",Verify required signals are correctly deasserted during and after reset.,Apply reset and check required signals remain deasserted until the required ACLK edge.,"Reset asserted, reset deassertion, post-reset signal state",Medium
Reset behaviour,A2.1,Signals that are required to be deasserted during reset must remain deasserted at least until the rising ACLK edge after ARESETn is HIGH.,Verify required signals are correctly deasserted during and after reset.,Apply reset and check required signals remain deasserted until the required ACLK edge.,"Reset asserted, reset deassertion, post-reset signal state",Medium
Reset behaviour,A2.3,VALID signals must be LOW during reset.,Verify required signals are correctly deasserted during and after reset.,Apply reset and check required signals remain deasserted until the required ACLK edge.,"Reset asserted, reset deassertion, post-reset signal state",Medium
General AXI protocol rule,A2.3,"The transmitter must keep its information stable until the transfer occurs at edge 3, when this assertion is recognized.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
VALID/READY handshake,A2.3,"When VALID is asserted, it must remain asserted until the handshake occurs, at a rising clock edge when VALID and READY are both asserted.",Verify VALID/READY handshake ordering and transfer completion.,Drive VALID and READY in different orderings and check transfer only completes when both are asserted.,"VALID before READY, READY before VALID, VALID with READY",Medium
General AXI protocol rule,A2.3,"In that case, the Subordinate must be able to accept any valid request that is presented to it.",Verify the extracted AXI requirement is satisfied.,Create a directed protocol test based on the requirement text.,Requirement covered,Medium
VALID/READY handshake,A2.3,The rules are: • The Manager must not wait for the Subordinate to assert AWREADY or WREADY before asserting AWVALID or WVALID.,Verify VALID/READY handshake ordering and transfer completion.,Drive VALID and READY in different orderings and check transfer only completes when both are asserted.,"VALID before READY, READY before VALID, VALID with READY",Medium
VALID/READY handshake,A2.3,"• The Subordinate must wait for AWVALID, AWREADY, WVALID, and WREADY to be asserted before asserting BVALID.",Verify VALID/READY handshake ordering and transfer completion.,Drive VALID and READY in different orderings and check transfer only completes when both are asserted.,"VALID before READY, READY before VALID, VALID with READY",Medium
Write transaction,A2.3,• The Subordinate must wait for the last write data transfer before asserting BVALID.,Verify write-channel protocol requirements.,Run directed write transfers and check AW/W/B channel ordering.,"AWVALID, WVALID, BVALID, BREADY",Medium
VALID/READY handshake,A2.3,• The Subordinate must not wait for the Manager to assert BREADY before asserting BVALID.,Verify VALID/READY handshake ordering and transfer completion.,Drive VALID and READY in different orderings and check transfer only completes when both are asserted.,"VALID before READY, READY before VALID, VALID with READY",Medium
