req_id,page,section,category,requirement
AXI_REQ_0001,27,A2.1,Functional,There must be no combinatorial paths between input and output signals on an interface.
AXI_REQ_0002,27,A2.1,Reset,Signals that are required to be deasserted during reset must remain deasserted at least until the rising ACLK edge
AXI_REQ_0003,28,A2.2,Functional,• Connected Manager and Subordinate interfaces must have the same value for the AXI_Transport property.
AXI_REQ_0004,29,A2.3,Reset,VALID signals must be LOW during reset.
AXI_REQ_0005,29,A2.3,Handshake/Timing,receiver asserts the READY signal after edge 2. The transmitter must keep its information stable until the transfer
AXI_REQ_0006,29,A2.3,Handshake/Timing,"When VALID is asserted, it must remain asserted until the handshake occurs, at a rising clock edge when VALID"
AXI_REQ_0007,30,A2.3,Handshake/Timing,Subordinate must be able to accept any valid request that is presented to it.
AXI_REQ_0008,31,A2.3,Functional,• Double-headed arrows point to signals that must be asserted only after assertion of the signal at the start of
AXI_REQ_0009,31,A2.3,Handshake/Timing,• The Manager must not wait for the Subordinate to assert AWREADY or WREADY before asserting
AXI_REQ_0010,31,A2.3,Handshake/Timing,"• The Subordinate must wait for AWVALID, AWREADY, WVALID, and WREADY to be asserted before"
AXI_REQ_0011,31,A2.3,Handshake/Timing,• The Subordinate must wait for the last write data transfer before asserting BVALID. The last write data
AXI_REQ_0012,31,A2.3,Handshake/Timing,• The Subordinate must not wait for the Manager to assert BREADY before asserting BVALID.
AXI_REQ_0013,32,A2.3,Handshake/Timing,• The Manager must not wait for the Subordinate to assert ARREADY before asserting ARVALID.
AXI_REQ_0014,32,A2.3,Handshake/Timing,• The Subordinate must wait for both ARVALID and ARREADY to be asserted before it asserts RVALID to
AXI_REQ_0015,32,A2.3,Handshake/Timing,• The Subordinate must not wait for the Manager to assert RREADY before asserting RVALID.
AXI_REQ_0016,34,A2.4.2,Functional,CRDTSH signals must be LOW.
AXI_REQ_0017,34,A2.4.2,Handshake/Timing,• VALID must not be asserted when the channel transmitter has zero credits.
AXI_REQ_0018,34,A2.4.2,Functional,There must not be combinatorial paths between credit signals and other signals on a channel in either direction.
AXI_REQ_0019,35,A5.5,Transaction,• Transfers using different Resource Planes must not block one another between transmitter and receiver.
AXI_REQ_0020,35,A5.5,Functional,• The receiver must be able to give at least one dedicated credit per RP supported.
AXI_REQ_0021,35,A5.5,Transaction,• The AW and W transfers in the same transaction must use the same RP number.
AXI_REQ_0022,35,A5.5,Ordering,• A Manager must not issue a request transfer that has the same ID as an outstanding transaction on the same
AXI_REQ_0023,35,A5.5,Functional,"Connected interfaces can be configured to have a different number of RPs, but a Manager must not require the use"
AXI_REQ_0024,35,A5.5,Handshake/Timing,If the AXI_Transport property is Ready: Num_RP_AWW and Num_RP_AR must be 1.
AXI_REQ_0025,36,A5.5,Functional,must be False.
AXI_REQ_0026,36,A5.5,Functional,• If Num_RP_AWW is 1: Shared_Credits_AW and Shared_Credits_W must be False.
AXI_REQ_0027,36,A5.5,Functional,• If Num_RP_AR is 1: Shared_Credits_AR must be False.
AXI_REQ_0028,36,A5.5,Functional,"• A receiver must give independence guarantees between RPs, whether the transmitter is using a shared or"
AXI_REQ_0029,40,A2.5,Handshake/Timing,• VALID signals must be pipelined by the same number of cycles as the payload signals of that channel
AXI_REQ_0030,40,A2.5,Handshake/Timing,• PENDING signals must retain the relationship that they are HIGH in the cycle before VALID is HIGH.
AXI_REQ_0031,41,A2.6,Response/Error,• A write response must always follow the last write transfer in a write transaction.
AXI_REQ_0032,41,A2.6,Response/Error,• Read data and responses must always follow the read request.
AXI_REQ_0033,41,A2.6,Transaction,"• When a Manager issues a write request, it must be able to provide all write data for that transaction, without"
AXI_REQ_0034,41,A2.6,Response/Error,"• When a Manager has issued a write request and all write data, it must be able to accept all responses for that"
AXI_REQ_0035,41,A2.6,Transaction,"• When a Manager has issued a read request, it must be able to accept all read data for that transaction, without"
AXI_REQ_0036,41,A2.6,Transaction,• A Subordinate must not block acceptance of data-less write requests due to transactions with leading write
